"DONOR","RECIPIENT","SECTOR","FLOW","CHANNEL","AMOUNTTYPE","FLOWTYPE","AIDTYPE","YEAR","Donor Name","Donor Agency","OECD ID","Donor Project ID","Recipient Name","Region","Income Group","Channel of Delivery Code","Channel of Delivery Name","Category Code","Category Name","FinanceType Code","FinanceType Name","BiMulti Code","Type of Aid Code","Type of Aid Name","Short Description","Project title","Purpose Code","Purpose Name","Sector","Long Description","SDG Focus","Gender equality","Environment","PDGG","Trade Development","RMNCH","DRR","Nutrition","Disability","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Amount","Amount Type","Amount Tied USD million","Amount Untied USD million","Amount Partially Untied USD million","Nature of Submission","Value"
"5","71","15110","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017004583","201628221","Albania","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVING ADMINISTRATION AND INSTITUTION BUILDING IN ALBANIA","Improving administration and institution building in Albania","15110","Public sector policy and administrative management","I.5.a. Government & Civil Society-general","Improving administration and institution building in Albania","","1","1","2","","0","","","","0","0","0","0",".306847","Current Prices (USD millions)",".000000",".000000","","3","0.306847"
"5","57","31166","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005363","201676675","Kosovo","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","ENABLING SELF-EMPLOYMENT OF YOUTH AND MARGINALIZED GROUPS IN RURAL AREAS IN KOSOVA","Enabling self-employment of youth and marginalized groups in rural areas in Kosova","31166","Agricultural extension","III.1.a. Agriculture","Enabling self-employment of youth and marginalized groups in rural areas in Kosova","","1","1","1","1","0","","","","1","0","0","0",".187213","Current Prices (USD millions)",".000000",".000000","","3","0.187213"
"5","85","25010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017004464","201610039","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","VOCATIONAL TRAINING PARTNERSHIP BETWEEN BBW AND VET CENTRES IN THE UKRAINE","Vocational Training Partnership between bbw and VET Centres in the Ukraine","25010","Business policy and administration","II.5. Business & Other Services","The introduction of need-based innovative training content increases the professional qualifications of Ukrainian specialists in selected occupations in two pilot regions (Lviv-Volyn).","","0","0","0","2","0","","","","0","0","0","0",".338181","Current Prices (USD millions)",".000000",".000000","","3","0.338181"
"5","85","25010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017004462","201610013","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PARTNERSHIP PROJECT BETWEEN ASSOCIATION OF GERMAN CHAMBERS OF COMMERCE AND INDUSTRY AND UKRAINIAN CHAMBERS OF COMMERCE AND INDUSTRY","Partnership Project between Association of German Chambers of Commerce and Industry and Ukrainian Chambers of Commerce and Industry","25010","Business policy and administration","II.5. Business & Other Services","Ukrainian SMEs benefit from the improved services offered by participating in the project chambers and a starched Chamber Network","","0","0","0","2","0","","","","0","0","0","0",".394544","Current Prices (USD millions)",".000000",".000000","","3","0.394544"
"5","85","25010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005499","201710060","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PARTNERSHIP PROJECT BETWEEN TRAINING CENTRE OF TRADE AND INDUSTRY MV (BWMV) AND REGIONAL ASSOSSIATIONS OF EMPLOYERS OF UKRAINE","Partnership Project between Training Centre of Trade and Industry MV (BWMV) and Regional Assossiations of Employers of Ukraine","25010","Business policy and administration","II.5. Business & Other Services","Regional employers' organizations are strengthened as social partners and contribute to the competitiveness of SMEs in Ukraine.","","0","0","0","2","0","","","","0","0","0","0",".264908","Current Prices (USD millions)",".000000",".975100","","1","0.264908"
"5","85","13040","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005365","201676691","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","STRENGTHENING THE SUSTAINABILITY OF THE 'NETWORK FOR THE SUPPORT OF PEOPLE LIVING WITH HIV IN THE REGION OF ODESSA/UKRAINE","Strengthening the sustainability of the 'Network for the support of people living with HIV in the region of Odessa/Ukraine","13040","STD control including HIV/AIDS","I.3. Population Policies/Programmes & Reproductive Health","Strengthening the sustainability of the 'Network for the support of people living with HIV in the region of Odessa/Ukraine","","1","0","0","","2","","","","0","0","0","0",".157487","Current Prices (USD millions)",".000000",".000000","","3","0.157487"
"5","85","13040","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005234","201675321","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PREVENTION OF HIV AND SUPPORT OF PSYCHOSOCIAL HEALTH IN UKRAINE - COMMUNITY-BASED WORK WITH THE STEPPING STONE PROGRAM '15'.","Prevention of HIV and Support of Psychosocial Health in Ukraine - Community-based work with the Stepping Stone program '15'.","13040","STD control including HIV/AIDS","I.3. Population Policies/Programmes & Reproductive Health","Young people and their persons of reference take part in a cycle of workshops on issues like Sexuality, drug use, violence, communication with the aim to sustainably change their behavior concerning their reproductive and psycho-social health and strengthening the individual and common resilience.","","1","0","0","","2","","","","0","0","0","0",".115891","Current Prices (USD millions)",".000000",".000000","","3","0.115891"
"5","89","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003497","201528082","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SOCIO-POLICITAL CONSULTANCY IN SOUTH-EAST EUROPE","Socio-policital Consultancy in South-East Europe","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","The Balkans is one of the most unstable regions of Europe, inequality is growing, ethnic conflicts are exploited. The Friedrich-Ebert-Stiftung will therefore implement dialogue and educational measures with young leaders and decisionmakers, to advice them in strengthening the democratic control, to stand in for the rights of the employees, and to contribute to the national reconciliation.","","1","1","2","","0","","","","0","0","0","0","4.313434","Current Prices (USD millions)",".000000",".000000","","3","4.313434"
"5","89","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003519","201528322","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","REGIONAL PROGRAMM EU-NEIGHBORHOOD, SPECIFICALLY IN TURKEY - GLOBAL ISSUES AND REGIONAL PERSPECTIVES","Regional Programm EU-Neighborhood, specifically in Turkey - Global issues and regional perspectives","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","The project comprises activities in Washington DC, Brussels, Istanbul and in Berlin, that aim to contribute to an international dialogue about global development based on principles of sustainability, social justice, peace and genderequality and to help develop and communicate regional perspectives oil these issues in the EU-Neighborhood, specifically in Turkey.","","2","2","2","","0","","","","0","0","0","0","2.417529","Current Prices (USD millions)",".000000",".000000","","3","2.417529"
"5","89","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003500","201528116","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SOCIO-POLITICAL AND TRADE UNION CONSULTING IN EASTERN EUROPE","Socio-Political and Trade Union Consulting in Eastern Europe","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Reducing social inequality. Promoting sustainable economic policy. Strengthening rule of law and democracy. Promoting cooperative security as guilding principle for foreign policy in Europe.","","0","0","2","","0","","","","0","0","0","0","4.162561","Current Prices (USD millions)",".000000",".000000","","3","4.162561"
"5","248","11330","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006688","201606003_0052","Kenya","South of Sahara","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","EQUIPMENT FOR IMPROVED SOLAR VOCATIONAL TRAINING, KENYA","Equipment for improved Solar Vocational Training, Kenya","11330","Vocational training","I.1.c. Secondary Education","Equipment for improved Solar Vocational Training, Kenya","","1","1","0","","0","","","","0","1","1","0",".000831","Current Prices (USD millions)",".000000",".000000","","3","0.000831"
"5","64","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003427","201515733","Bosnia and Herzegovina","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","EMPOWERMENT OF LOCAL DEMOCRACY","Empowerment of local democracy","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Empowerment of local democracy","","1","0","2","","0","","","","0","0","0","0",".105544","Current Prices (USD millions)",".000000",".000000","","3","0.105544"
"5","64","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003879","201533405","Bosnia and Herzegovina","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","INCREASING THE CAPACITY OF THE DIOCESAN YOUTH AND COORDINATION CENTRE JOHN PAUL II AT SARAJEVO","Increasing the Capacity of the Diocesan Youth and Coordination Centre John Paul II at Sarajevo","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Increasing the Capacity of the Diocesan Youth and Coordination Centre John Paul II at Sarajevo","","1","0","2","","0","","","","0","0","0","0",".202908","Current Prices (USD millions)",".000000",".000000","","3","0.202908"
"5","57","11220","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017004074","201555812","Kosovo","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROMOTIN THE RESPECTFUL INTEGRATION OF ROMA IN PEJA AND SUHAREKA, KOSOVO","Promotin the respectful integration of Roma in Peja and Suhareka, Kosovo","11220","Primary education","I.1.b. Basic Education","Promotin the respectful integration of Roma in Peja and Suhareka, Kosovo","","0","0","0","","0","","","","0","0","0","0",".129084","Current Prices (USD millions)",".000000",".000000","","3","0.129084"
"5","55","11330","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006179","201740554","Tnrkiye","Europe","UMICs","20000","International NGO","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BUILDING RESILIENCE TROUGH INITIATIVES DEFINING GROWTH POTENTIAL OF ECONOMIC SOLUTIONS FOR SYRIANS IN TURKEY (BRIDGES)","Building Resilience trough Initiatives defining Growth potential of Economic Solutions for Syrians in Turkey (BRIDGES)","11330","Vocational training","I.1.c. Secondary Education","Support of the professional education of Syrians in Turkey","","1","0","0","","0","","","","0","0","0","0","4.678165","Current Prices (USD millions)",".000000","9.018100","","1","4.678165"
"5","85","15220","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005364","201676683","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PREVENTION OF GENDER BASED VIOLENCE, HUMAN TRAFFICKING AND CHILDREN RIGHTS VIOLENCE","Prevention of gender based violence, human trafficking and children rights violence","15220","Civilian peace-building, conflict prevention and resolution","I.5.b. Conflict, Peace & Security","Prevention of gender based violence, human trafficking and children rights violence","","1","0","2","","0","","","","0","0","0","0",".142048","Current Prices (USD millions)",".000000",".000000","","3","0.142048"
"5","89","15160","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017002819","201433242","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","LEGAL AID AND PSYCHO-SOCIAL SERVICES FOR ASYLUM SEEKING MIGRANTS IN PRISONS OF SOUTH EAST EUROPE","Legal aid and psycho-social services for asylum seeking migrants in prisons of South East Europe","15160","Human rights","I.5.a. Government & Civil Society-general","Legal aid and psycho-social services for asylum seeking migrants in prisons of South East Europe","","0","0","2","","0","","","","0","0","0","0",".214181","Current Prices (USD millions)",".000000",".000000","","3","0.214181"
"5","89","16010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017002225","201339407","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","ORGANISATION OF CHURCH AND COMMUNITY BASED SOCIAL SERVICES IN ORDER TO INCLUDE THE SOCIALLY DISADVANTAGED INTO THE UKRAINIAN SOCIETY","Organisation of church and community based social services in order to include the socially disadvantaged into the Ukrainian society","16010","Social Protection","I.6. Other Social Infrastructure & Services","Organisation of church and community based social services in order to include the socially disadvantaged into the Ukrainian society","","1","0","1","","0","","","","0","0","0","0",".276181","Current Prices (USD millions)",".000000",".000000","","3","0.276181"
"5","89","16010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017002826","201433317","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","COMMUNITY BASED SOCIAL SERVICES AND EDUCATIONAL INITIATIVES FOR MORE INCLUSION AND CONFLICT TRANSFORMATION IN BOSNIA-HERZEGOVINA, KOSOVO AND ALBANIA","Community based social services and educational initiatives for more inclusion and conflict transformation in Bosnia-Herzegovina, Kosovo and Albania","16010","Social Protection","I.6. Other Social Infrastructure & Services","Community based social services and educational initiatives for more inclusion and conflict transformation in Bosnia-Herzegovina, Kosovo and Albania","","1","0","1","","0","","","","0","0","0","0",".428362","Current Prices (USD millions)",".000000",".000000","","3","0.428362"
"5","89","16010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017001823","201132166","Europe, regional","Europe","Part I unallocated by income","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BASIC SOCIAL SERVICES FOR REHABILTAION AND EDUCTION OF DISABLED AND ILL PEOPLE AT STAROKONSTANTINOV, DROHBECH( UKRAINA) AND MINSK (BELARUS)","Basic social services for rehabiltaion and eduction of disabled and ill people at Starokonstantinov, Drohbech( Ukraina) and Minsk (Belarus)","16010","Social Protection","I.6. Other Social Infrastructure & Services","Basic social services for rehabiltaion and eduction of disabled and ill people at Starokonstantinov, Drohbech( Ukraina) and Minsk (Belarus)","","1","0","0","","0","","","","0","0","0","0",".078909","Current Prices (USD millions)",".000000",".000000","","3","0.078909"
"5","63","24030","19","30000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017137151","201736511","Serbia","Europe","UMICs","30000","Public-Private Partnerships (PPP)","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","GREEN FOR GROWTH FUND SOUTHEAST EUROPE","Green for Growth Fund Southeast Europe","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","the Fund strengthens the development of the market for efficiency of energy and renewable energies through investments in smallest, small and medium sized companies and private households","","0","2","0","0","0","","","","0","2","0","0","7.890880","Current Prices (USD millions)",".000000","7.890900","","8","7.89088"
"5","63","24030","19","30000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017134852","201736677","Serbia","Europe","UMICs","30000","Public-Private Partnerships (PPP)","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","REGIONAL ENERGY EFFICIENCY FUND WESTERN BALKANS AND EUROPEAN NEIGHBORHOODS","Regional Energy Efficiency Fund Western Balkans and European Neighborhoods","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","Regional Energy Efficiency Fund Western Balkans and European Neighborhood Regions (GGF VI)","","0","2","0","0","","","","","0","2","0","0","16.909029","Current Prices (USD millions)",".000000","16.909000","","8","16.909029"
"5","431","41030","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017007065","201706019_0217","Brazil","South America","UMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","POVERTY REDUCTION BY PARTICIPATORY PROTECTED AREAS MANAGEMENT AND FOREST BASED ECONOMIC ACTIVITY","Poverty reduction by participatory protected areas management and forest based economic activity","41030","Biodiversity","IV.1. General Environment Protection","Poverty reduction by participatory protected areas management and forest based economic activity","","1","2","1","","0","","","","2","1","1","0",".173812","Current Prices (USD millions)",".000000","1.098700","","1","0.173812"
"5","645","12261","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006770","201606003_0135","India","South & Central Asia","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","COMMUNITY-BASED PRIMARY HEALTHCARE ACTIVITIES NAGALAND, INDIA","community-based primary healthcare activities Nagaland, India","12261","Health education","I.2.b. Basic Health","community-based primary healthcare activities Nagaland, India","","1","0","0","","0","","","","0","0","0","0",".027054","Current Prices (USD millions)",".000000",".000000","","3","0.027054"
"5","71","15170","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006359","201774751","Albania","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","HUMAN RIGHTS PROTECTION AND SUPPORT OF THE SOCIO-ECONOMIC EMPOWERMENT OF WOMEN/GIRLS IN TIRANA, ESPECIALLY OF THOSE AFFECTED BY DOMESTIC VIOLENCE","Human rights protection and support of the socio-economic empowerment of women/girls in Tirana, especially of those affected by domestic violence","15170","Women's rights organisations and movements, and government institutions","I.5.a. Government & Civil Society-general","The project contributes to better protection of the Human Rights in Albania. Relevant public institutions like police offices, social offices and health offices will be trained to implement correct the relevant law related to the protection of Human Rights.  In the same time also affected people will be empowered and supported to claim their rights and to change their situation.","","2","0","2","","0","","","","0","0","0","0",".064149","Current Prices (USD millions)",".000000",".202900","","1","0.064149"
