,Finanzierungsart,Year,Melder,Sektor,Annex2,Empfängerland,ODA-Art,Projektbeschreibung,Organisation,Art der Organisation,ProjectNumber,Zusage,Auszahlung,ISO
3684,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43030.0,Yes,"Asia, regional",Bil ODA,Institutional and personal capacities for an integrated urban resource management are improved in selected asian cities.,Economic and Social Commission for Asia and the Pacific ,"United Nations (UN) agency, fund or commission",201522010,192762.9999999999,1823374.0,
3685,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Bangladesh,Bil ODA,From the refugee's crisis affected girls and boys have access to informal basic education and school material in a save learning enviroment.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718774,4509075.0,4509075.0,BGD
3686,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,16010.0,Yes,Bangladesh,Bil ODA,"The overall objective of the project is the adoption of a sustanable national employment injury insurance (EII) scheme for workers employed in the formal sector in Bangladesh, starting with the ready-made-garmant sector (RMG). With the funds of the project, the ILO shall be put in the position of coordinating the activities of donors and other key actors in Bangladesh.",International Labour Organisation - Regular Budget Supplementary Account,"United Nations (UN) agency, fund or commission",201579846,0.0,338181.0,BGD
3687,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to GEF,Global Environment Facility Trust Fund,Other multilateral institutions,VI,0.0,98636005.0,
3688,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNWOMEN,United Nations Entity for Gender Equality and the Empowerment of Women,"United Nations (UN) agency, fund or commission",,4509075.0,4509075.0,
3689,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to GEF-LDCF,Global Environment Facility - Least Developed Countries Fund,Other multilateral institutions,VII,28181716.0,28181681.0,
3690,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to WFP,World Food Programme ,"United Nations (UN) agency, fund or commission",201678101,31572540.0,31572540.0,
3691,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Afr.DB,African Development Bank,Regional Development Banks,GCI 6,0.0,18959062.0,
3692,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to GCF,Green Climate Fund,Other multilateral institutions,,0.0,211362868.0,
3693,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to IDEA,International Institute for Democracy and Electoral Assistance ,Other multilateral institutions,,450907.0,450907.0,
3694,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNCCD,Convention to Combat Desertification ,"United Nations (UN) agency, fund or commission",,611313.0,611313.0,
3695,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNCCD,Convention to Combat Desertification ,"United Nations (UN) agency, fund or commission",,1265454.0,1265454.0,
3696,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNIDO,United Nations Industrial Development Organisation ,"United Nations (UN) agency, fund or commission",,9032112.0,9032112.0,
3697,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNICEF,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",,16909029.0,16909029.0,
3698,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Afr.DF,African Development Fund ,Regional Development Banks,14,191786721.0,191786721.0,
3699,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Global Fund,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Other multilateral institutions,GFATM,259271784.00000003,259271784.00000003,
3700,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to EDF,European Commission - European Development Fund,European Union Institutions,,919960355.0,919960355.0,
3701,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Afr.DF-MDRI,African Development Fund ,Regional Development Banks,,0.0,16935306.0,
3702,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNIDO,United Nations Industrial Development Organisation ,"United Nations (UN) agency, fund or commission",,988953.0,988953.0,
3703,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to OECD-Dev. Centre,OECD Development Centre ,Other multilateral institutions,,1182886.0,1182886.0,
3704,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNV,United Nations Volunteers ,"United Nations (UN) agency, fund or commission",,2017811.0,2017811.0,
3705,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol ,Other multilateral institutions,X,3192425.0,3192425.0,
3706,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to AsDF,Asian Development Fund ,Regional Development Banks,12,22545373.0,22545373.0,
3707,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNFPA,United Nations Population Fund ,"United Nations (UN) agency, fund or commission",,24799910.0,24799910.0,
3708,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNDP,United Nations Development Programme ,"United Nations (UN) agency, fund or commission",,28181716.0,28181716.0,
3709,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to EC,European Commission - Development Share of Budget,European Union Institutions,,2056025251.0,2056025251.0,
3710,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol ,Other multilateral institutions,IX,0.0,9496458.0,
3711,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to IDA,International Development Association ,World Bank Group (WB),17,0.0,604193439.0,
3712,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to CDB,Caribbean Development Bank ,Regional Development Banks,SDF 9,3466351.0,3466351.0,
3713,Kernbeitrag (multi. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to GAVI,Global Alliance for Vaccines and Immunization ,Other multilateral institutions,,67636118.0,67636118.0,
3714,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,12240.0,Yes,Burkina Faso,Bil ODA,"With this project the World Food Programme will support lack-nourished children at the age of up to 5 years as well as pregnant or nursing women and contribute to an improvement of the life bases. A cooperation with UNICEF and WHO is planned, in addition, the local authorities should be strengthened in the fight against malnutrition or underfeeding.",World Food Programme ,"United Nations (UN) agency, fund or commission",201601145,0.0,1688648.0,BFA
3715,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Burkina Faso,Bil ODA,The aim of the plan is to make the vulnerable sections of the population in three particularly affected regions more resilient compared with natural disasters and thus also improve the food security.,World Food Programme ,"United Nations (UN) agency, fund or commission",201601517,0.0,1206177.0,BFA
3716,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Burundi,Bil ODA,"The project will focus on the promotion of farm based livelihoods, community assetscreation and sustainable natural resource management.This will be done through ongoing Food Assistance for Assets (FFA) activities using a combination of cash and vouchers transfers in the provinces.",World Food Programme ,"United Nations (UN) agency, fund or commission",201401108,0.0,1197385.0,BDI
3717,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Burundi,Bil ODA,"By the programme vulnerable sections of the population should attain food security. The following components are planned - 1) school supplies for pre- and primary school children, 2) Nutrition measures for pregnant and nursing women, children of 6 to 23 months as well as HIV/AIDS patients in treatment, as well as 3) measures for the rural development at local level. All together 75,000 people are supported more than 60 months.",World Food Programme ,"United Nations (UN) agency, fund or commission",201601483,0.0,964942.0,BDI
3718,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Burundi,Bil ODA,"The aim of the plan is to move Nutrition measures for children within the relevant first 1000 life days. A target group are approx. 1,100,000 people in the project area - 55,000 pregnant women, 80,000 children of from 0 to 23 months, 118,000 children of from 0 to 36 months as well as 5,000 lack-nourished children of from 0 to 59 months.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201601285,0.0,1391180.0,BDI
3719,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Burundi,Bil ODA,The Country programmes should contribute in particularly from food insecurity and lack food affected province of Karusi to the fact that particularly vulnerable people are supported like breastfeeding mothers and toddlers up to 2 years.World Food Programme will contribute by behavioral change communication (BCC) to the clarification of the mothers and promote the establishment of kitchen gardens as well as adequate food practise for babies and toddlers.,World Food Programme ,"United Nations (UN) agency, fund or commission",201601152,0.0,482470.99999999994,BDI
3720,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15130.0,Yes,Cambodia,Bil ODA,Contribution of the BMZ for dealing with human rights violations of the Khmer Rouge Regime as a contribution to peace keeping in Cambodia,United Nations,"United Nations (UN) agency, fund or commission",201679380,174726.9999999999,569270.9999999999,KHM
3721,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15130.0,Yes,Cambodia,Bil ODA,Contribution of the BMZ for dealing with human rights violations of the Khmer Rouge Regime as a contribution to peace keeping in Cambodia,United Nations,"United Nations (UN) agency, fund or commission",201779883,619998.0,0.0,KHM
3722,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,23210.0,No,"Caribbean & Central America, regional",Bil ODA,Program renewable energy and energy efficiency,"Regional Development Banks, Other",Regional Development Banks,200566240,0.0,0.0,
3723,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,24030.0,No,"Caribbean & Central America, regional",Bil ODA,credit line for small and medium sized enterprices with the BCIE,"Regional Development Banks, Other",Regional Development Banks,200566232,0.0,0.0,
3724,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15220.0,No,Central African Republic,Bil ODA,ZAR   EU-Multi Donor Trust Fund Bêkou (III),"European Union Institutions, Other",European Union Institutions,201768027,16909029.0,16909029.0,CAF
3725,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,Chad,Bil ODA,"Aim to contribute to reducing maternal and child mortality by increasing the use of preventive and curative health services, particularly in the areas of reproductive health, nutrition, water, sanitation and health care and hygiene.",United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718113,7890880.0,7890880.0,TCD
3726,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Chad,Bil ODA,"Opportunities to strengthen independence through cashed-based assistance, especially for refugees. This includes for example the construction of wells for livestock farming and agriculture as well as the rehabilitation of roads.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718436,9423966.0,7169428.0,TCD
3727,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Colombia,Bil ODA,"Measures are on the one hand Capacity Development Activities, like strengthening the local structures, reinforced inclusion of women as well as from traditional knowledge for the environment protection in the processes. Above all, however, conditioned transfer achievements (Cash for Assets) are used in the area of reforestation, water management and food.",World Food Programme ,"United Nations (UN) agency, fund or commission",201718584,2479991.0,2479991.0,COL
3728,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15220.0,No,Colombia,Bil ODA,EU Trust Fund for Colombia,"European Union Institutions, Other",European Union Institutions,201665280,0.0,3381806.0,COL
3729,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Colombia,Bil ODA,Supporting the communities affected by the conflict in reconstruction through measures to improve their quantitative and qualitative food security and strengthen their resilience.,World Food Programme ,"United Nations (UN) agency, fund or commission",201418169,0.0,281816.9999999999,COL
3730,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,52010.0,Yes,Cuba,Bil ODA,Support food security and nutrition-related social protection programs. Strengthening links between social protection systems and agricultural value chains and strengthening community resilience and disaster risk management capacities at the local level.,World Food Programme ,"United Nations (UN) agency, fund or commission",201718782,845451.0,563633.9999999999,CUB
3731,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,23110.0,No,"Developing countries, unspecified",Bil ODA,Supporting the Global Alliance for Clean Cookstoves,"Other multilateral institutions, Other",Other multilateral institutions,201479906,0.0,112726.9999999999,
3732,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11120.0,Yes,"Developing countries, unspecified",Bil ODA,The objective of BMZ's contribution is to enable the UN institutions based in Bonn to display their best possible potential in their endevour to support developing countries and recruit the personnel resources needed to do so. Among the key determinants in this context is access to adequate school infrastructure.,United Nations Volunteers ,"United Nations (UN) agency, fund or commission",201579879,0.0,1127269.0,
3733,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31120.0,No,"Developing countries, unspecified",Bil ODA,"The aim is an income increase and hunger reduction in low income countries by more and better investments in agriculture and rural sectors, carried from the partners. The main areas are qualitative increase of land-economic productiveness, improvement of the market binding, improvement of the food security (and quantitatively), risk management and increase of the Resilienz and improvement of not agricultural life bases. Climate-smart investments and the support of women are important cross section subjects.","Global Agriculture and Food Security Program, Other",Other multilateral institutions,201501402,0.0,9018149.0,
3734,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15220.0,Yes,"Developing countries, unspecified",Bil ODA,"Countries are able to reduce the likelihood of conflict and lower the risk of natural disasters, including from climate change.",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201579887,112726.9999999999,169089.9999999999,
3735,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"Developing countries, unspecified",Bil ODA,Assessment of 10-15 multilateral organisations in 10-13 partner countries,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,Other multilateral institutions,201279306,124000.0,124000.0,
3736,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43040.0,Yes,"Developing countries, unspecified",Bil ODA,"In an internal selection process of the International Fund for Agricultural Development (IFAD), 'Rural Youth' was chosen as the core topic for the Rural Development Report (RDR) for 2019. The BMZ support is a contribution to the preparation of the report. The aim is to support the creation of the RDR 2019, in particular the production of up to 20 background papers.",International Fund for Agricultural Development ,"United Nations (UN) agency, fund or commission",201701366,225453.9999999999,0.0,
3737,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,41081.0,Yes,"Developing countries, unspecified",Bil ODA,"Raise awareness about climate change and its impacts at various levels. public at large, private sector and policy and decision-makers. promote commitment among the public. private sectore and policy-makers to take action. build coalitions to further advocacy efforts",International Bank for Reconstruction and Development ,World Bank Group (WB),201779339,225453.9999999999,0.0,
3738,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,23110.0,No,"Developing countries, unspecified",Bil ODA,"Support of sustainable energy through 3 global energy goals for the eriod up to 2030.1.  establishment of universal access to energy, 2.doubling of the growth rate of the energy efficiency, 3. doubling of the sustainable energy regarding the global energy mix","United Nations Office for Project Services, Other","United Nations (UN) agency, fund or commission",201679950,259272.0,112726.9999999999,
3739,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,11120.0,Yes,"Developing countries, unspecified",Bil ODA,To establish for UNLOCK a P4 staff position in Bonn tasked to increase the capacity of UN staff for change management in view to the implementation of the Agenda 2030 through the development of training programmes and learning tools.,United Nations System Staff College ,"United Nations (UN) agency, fund or commission",201679968,281816.9999999999,225453.9999999999,
3740,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,16020.0,No,"Developing countries, unspecified",Bil ODA,The MDTF aims at supporting the design and the implementation of the Jobs strategy of the world Bank.,"World Bank Group (WB), Other",World Bank Group (WB),201479955,563633.9999999999,0.0,
3741,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"Developing countries, unspecified",Bil ODA,Strengthening of the management capacities of the SDU with regard to the preperation and implementation of proposals for reform of the UN Development System to be presented by the end of december 2017,United Nations,"United Nations (UN) agency, fund or commission",201779990,563633.9999999999,563633.9999999999,
3742,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15114.0,No,"Developing countries, unspecified",Bil ODA,Promote revenue mobilization in support of sustainable development,"International Monetary Fund (IMF), Other",International Monetary Fund (IMF),201679893,563633.9999999999,665088.0,
3743,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,23110.0,No,"Developing countries, unspecified",Bil ODA,"Enhancing development financing, increasing institutional capacity of member countries for the implementation of policies, strategies and programmes that deliver reliable and affordable energy services (for poverty reduction and environmentally sustainable economic growth), deepening knowledge and generating innovative solutions","World Bank Group (WB), Other",World Bank Group (WB),201679919,845451.0,338181.0,
3744,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"Developing countries, unspecified",Bil ODA,"1. national policy frameworks and institutional arrangements, and policy solutions and interventions are informed by multi-sectoral data and rigorous analysis of bottlenecks and accelerators., 2. National policy frameworks and institutional arrangements better reflect  the country's sustainable development commitments and the principles of integrated/ multi-disciplinary/ whole-of-government approaches., 3. Policy solutions and interventions that address issues of multi-dimensional nature are designed and implemented more effectively at the country level, 4. Development partners support demonst",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",201779842,901815.0,0.0,
3745,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,16020.0,Yes,"Developing countries, unspecified",Bil ODA,"by 2022, BW will have accelerated improvements in working conditions and business competitiveness through in-factory services.-by 2022, BW will have influenced global retrailers, brands and manufacturers in the establishment of business practices that promote decent work outcomes in supply chains.-at the national level, ILO, IFC and WBG will have strengthened institutions and influenced policies that create an enabling environment for decent work and improved business competitiveness",International Labour Organisation - Regular Budget Supplementary Account,"United Nations (UN) agency, fund or commission",201779867,1127269.0,0.0,
3746,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,73010.0,Yes,"Developing countries, unspecified",Bil ODA,Eductaion Cannot Wait closes a particular a gap which originates with longer persevering crisis situations. Through the destruction of the school infrastructure or in the admission area of available educational offers a threat. The flexibility and quick implementation of the fund is suitable to counteract against this danger.,United Nations Children's Fund ,"United Nations (UN) agency, fund or commission",201718758,18036298.0,18036298.0,
3747,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,31120.0,No,"Developing countries, unspecified",Bil ODA,"The aim is an income increase and hunger reduction in low income countries by more and better investments in agriculture and rural sectors, carried from the partners. The main areas are qualitative increase of land-economic productiveness, improvement of the market binding, improvement of the food security (and quantitatively), risk management and increase of the Resilienz and improvement of not agricultural life bases. Climate-smart investments and the support of women are important cross section subjects.","Global Agriculture and Food Security Program, Other",Other multilateral institutions,201701135,33818059.0,1127269.0,
